decoded_french,labels,decoded_hyp_list
"Un homme soudait, à mesure que les étincelles tomb",0,Il y a un homme qui travaille.
Trois hommes se parlent l'un l'autre et b,1,Trois hommes jouissent d'une heure heureuse après le travail.
Les patineurs à figure en paire font une routine sur la glace.,1,Couples en pratique pour un concours de patinage.
L'homme a sa chemise blanche sur un champ vert.,0,Un homme est sans chemise en dehors d'un champ vert
Une jeune fille en chemise bleue marche dans le trottoir,2,"Un vieux homme en marche, ne tenant rien."
Une femme à cheveux foncés et à chanda,0,Une femme est à l'extérieur
Un homme et une jeune fille mangent un repas dans une rue de la,1,Un homme et une jeune fille mangent au milieu d'une rue
Un homme kayake dans l'eau rugueuse.,0,C'est un défi.
"Une petite fille dorme sur un plancher muré, avec une veste rose",1,l'enfant était heureux
Homme à l'âge plus âgé en shorts blancs et,2,Deux personnes avalisent un bateau.
Une femme parle sur un téléphone cellulaire.,1,une femme écoute son message vocal
Un homme oriental ajuste une caméra avec une lumière en dessus.,1,Il y a un homme sur le point de prendre des photos pour un mariage.
Un pilote quitte une maison.,1,Un pilote quitte son domicile pour aller travailler.
Un homme dorme sur un banc de parc.,0,Un homme dorme à l'extérieur sur un banc.
Une femelle de balle molle se glisse spectaculairement dans,1,Le matelot porte un jigge bleu.
Deux chiens bruns et blancs s'établissent sur des,2,Les chats roulaient sur les roches.
Profil d'un jeune ayant un style de poils punk et,2,Profil d'un vieux homme sans poils.
Bride avec un voile blanc regardant vers le bas.,2,Une bride est habillée pour nager.
"Le dos d'un homme portant tout le noir, qui regarde un",2,L'homme n'a pas de chemise à dos.
Un souriant homme à cheveux bruns courts dans une chemise noire,1,L'homme achète de nouveaux souliers.
Un homme portant des écouteurs et s'assistant devant,0,Un homme se trouve autour d'un microphone et a des
Un homme plus âgé sourire en strumant une guitare dans la rue,0,Un homme joue la guitare.
Les pieds de l'oiseau prennent la fenêtre en douceur.,0,L'oiseau a ses pieds sur la fenêtre.
Un homme à l'échelon d'une échelle où,1,L'échelle est rusy
Un homme inspecte un gros marteau.,0,Un homme inspecte un marteau.
Un chien brun en somme s'étend sur une grande partie d',1,L'arbre est tombé d'une tempête.
Les femmes en avertissant son bras en position.,2,Personne ne s'en tient à dire.
Un homme plus âgé fait une pose de karate.,0,d’un homme pose
Un homme flamboyant en habillé emprunte un cheval dont le man,0,Un homme en chevaux.
Un garçon en jeans et un tête-souvenir bleu,2,Un garçon et une fille qui ont un pique-nique sous un
Une petite fille dans un sarong orange tient sa poupée,2,Elle s'enfonce à s'enfoncer.
Trois jeunes hommes en robe à l'occasion autour de bicyclettes,2,Personne en foule
une jeune fille blonde ayant une magizine dans ses mains,2,Une jeune fille tient un livre.
"Enfant, homme et femme marchent près de l'eau.",0,Les gens sont à l'extérieur.
De nombreuses personnes en chemises blanches marchent en arrière.,2,Des gens en uniforme noir se trouvent sur une rue.
Un grand poisson vert et bleu se saute de l'eau.,2,Un grand poisson nageant sous-marin.
Un homme en châssis bleu rayé photographie un signe,0,Un homme en chemise prenant des photographies.
L'homme portant un costume coloré tient quelque chose aux deux mains e,1,L'homme est clown dans une image.
Quatre adolescentes sont montrées jouer au soccer sur,2,Deux hommes et une fille jouent au soccer ensoleillé en
Le cowboy équite un cheval à l'arrière dans une,1,Un chevalier équitable est en train de rouler un cheval avec une
Deux hommes jouent le basket-ball sur un terrain de basket-ball avec des spectateur,0,Il y a des hommes qui jouent le basket-ball.
et un couple en ride carnaval à l'appel.,2,le couple dorme à la maison
Deux hommes portant des chapeaux durs à l'aide d'un,1,Deux hommes portant des chapeaux durs supervisent le travail de rue.
Un chien s'envole dans un champ d'herbe brune.,2,Un chien s'étend sur le sable de la plage.
Un homme assis sur une machinerie le long d'une route près des,0,Une séance humaine.
Un homme portant un chapeau et un écusson se,2,l’homme en marche.
Un groupe de jeunes hommes joue des instruments pour une foule.,2,les porcs mangent du poisson
Un homme portant tout le noir et un chapeau noir est souriant,2,Un homme noir crie de tristesse.
Un homme en tachets chante étroitement dans un,1,Le microphone est noir.
Travailleur en construction en veste orange pondant des pavers en,0,Un travailleur de la construction porte un veste orange.
Un homme du milieu-est pose pour une photo à un stand de ra,2,d’un chien mange du steak
Un grand groupe de personnes se trouve au milieu d'un domaine.,1,Il y a un grand groupe d'hommes au milieu du terrain.
Une fille à cheveux foncés naît sous l,1,Une jeune fille s'enrôle dans la piscine.
trois enfants blonds bien habillés dans une cage.,1,Ils sont des sibilisations.
un homme saute sur un obstacle transportant son vélo,0,Un homme est à l'extérieur.
Une femme et un petit garçon sont souriants et l'enfant,1,Une femme s'occupe de la cuisine pour son fils.
Une femme tient un bébé sur son givre et tient la main,2,Une femme a l'air d'un avion.
Une femme asiatique plus âgée a l'habitude de produire quelques légumes,1,Une femme montre à ses petits-enfants les légumes qu'elle vient de ramass
Les jeunes garçons et les filles à capuchon se t,1,Un jeune garçon et une jeune fille se trouvent à l'
Il y a deux hommes sur une échelle l'un est au s,0,Deux hommes travaillent.
Deux femmes en vêtement noir et pieds nus s'en,0,Deux femmes s'en prennent à l'écoute.
Un homme en veste multicolore et une femme en robe,1,Un homme et sa femme chantent pour une foule
Les gens attendent à l'intersection occupée à la prom,1,Les gens attendent d'embarquer dans un autobus.
Deux femmes en costume se préparant mutuellement leurs vêtements,2,Les hommes se préparent à chanter.
Un homme portant des lunettes de soleil se tient sur un train de m,0,Un homme se tient.
Deux chiens se battent dans la rue.,1,Certains chiens roulent autour
Un grand chien brun joue dans la terre et l'herbe.,0,Un grand chien brun roule dans la terre.
"Deux garçons, deux filles, s'enfoncent et",0,Les quatre enfants sont prêts à courir le parc d'agrément.
Un chien brun se trouve sur la plage.,2,Un chien brun joue à côté d'un hydrant à feu.
L'enfant s'écarte du plan de plongée à la piscine,1,"Le garçon s'écarte du plan de plongée à la piscine,"
Les gens du parc regardent le jeu.,1,Les gens regardent un jeu de baseball dans un parc.
Une femme ayant une chemise rose et des cheveux bruns fon,0,Une femme est heureuse d'avoir des bonbons de coton.
Les gens dans une pièce sombre qui a des murs éclairés par,0,Une chambre presque foncée ne s'éclairant que par
Deux petits garçons dans un canot plongant sur la rivière.,0,Il y a des gens à l'extérieur.
Un petit garçon à cheveux bruns a sauté d'un chaise brune,0,Le petit garçon n'est pas en panne.
Un groupe de gens regardent sur un homme en voyant un tableau blanc.,2,Un groupe de gens regardent comme un homme dorme.
Un homme en vélo dans un champ.,1,L'homme se compétitit dans une course à vélo.
Un homme s'engele sur un tapis vert surprenant le paysage,2,Un homme a la nature.
Un bébé terrifiant (et terrifiant) crie en,2,Le bébé dorme sainement.
l’homme assis sur une roche.,2,L'homme se tient
Un homme en costume foncé s'efforce de kiss,2,Deux hommes combattent
Un homme et une femme marchent sur le trottoir.,2,Deux hommes marchent sur un trottoir.
Une soirée de bridal entourant une bride assise sur un canapé.,1,Une bride prend une photo avec sa famille.
Une jeune femme qui marche dans les ombres devant une zone clôturée.,0,Une femme marche le long d'une clôture.
Une personne en bleu entraînée sur un arrière-plan à,0,La personne portant le bleu est à l'extérieur.
Un homme élargie jouant la guitare sur scène.,2,L'homme joue la guitare dans sa chambre.
Une femme portant du noir et des cheveux noirs se tient devant un mur,2,La femme conduit sa voiture pour travailler.
Un homme s'envole d'une corde dans un lac.,0,Un homme semble être sur le point de s'en rendre dans un lac.
Un patineur est photographié sautant d'une étape.,0,Le skateboarder sait à quel point il roule à bord
Un homme plus âgé semble être à une fête assis sur un banc pourpre,1,L'homme participe à une fête et est habillé dans des vêtements
Un homme en châssis rouge à long sangle,0,Un homme évolue à vélo.
Les gens marchent sur le trottoir le long du stationnement devant un magasin,0,Les gens marchent devant un magasin
Un jeune homme ayant un casque noir et des coudes effectue,1,Une personne évolue à vélo dans un parc de patins.
Lieu de spectacle de rue à la plage sur des stilts jouant,1,Il y a des hommes qui marchent sur la plage.
Une femme qui présente un grand grille à l'intérieur d'un magasin,1,Une femme qui utilise un grille devant un magasin.
Un policier se trouve à l'extérieur de la porte d'un,2,l’homme de police en conduit.
Les gens marchent sur un pont au-dessus de l'eau.,2,Les gens roulent vraiment vite dans leurs voitures sur une route flate e
