decoded_french,labels,decoded_hyp_list
Les nageurs de polo d'eau qui se disputent une balle,2,Un groupe de joueurs de basket-ball naissant ensemble.
Un joueur de soccer portant des courtes blanches et une chemise,2,Un joueur de football a lancé une passée de tremblement de terre.
Un homme plus âgé ayant de gros taches sur ses jeans regarde sur le,1,Un homme vient de finir de couper un arbre.
Une petite fille portant une veste rose se déplace sur un carrousel,-1,La fille se trouve sur un cheval sculpté en bois.
Un homme se tient à une machine.,0,Un homme est en boue à l'aide d'une
Trois hommes regardent à l’intérieur de la cour et deux autres,2,Autre apparence lorsque l'homme croît du boeuf
Plusieurs petits-enfants dans une pièce où il y a de nombreux,0,Plusieurs petits-enfants se trouvent dans une pièce où ils jou
Un groupe de garçons scouts se trouvent en position d,1,Un groupe de scouts de garçons tristes se trouvent en
Deux chiens se s'ébranlent sur le sable.,2,Les chiens naissent dans l'océan.
Interviennent dans une salle à l'aune de personnes assises dans des,0,Il y a des gens à l'intérieur.
un surfboardeur seul sur un surfboard blanc envolant l'air au,2,Un surfboard seul emprunte la plage.
Une femme à l'écran rouge vif saute en haute,0,Une femme noire saute dans l'air avec un parasol rouge.
Plusieurs jeunes Américains africains donnent une danse extérieure,1,Un groupe danse des tribus à un festival.
Deux personnes marchent sur une montagne.,0,Les gens marchent sur une montagne.
Personne qui fait un truc sur un patinoire dans un parc de patinoire alors que,1,Il y a une personne qui imite un truc de skateboard de Tony Hawk
"Quatre personnes travaillent dans un champ vert, deux portent du blanc e",2,Un groupe de personnes s'asseoira sur un canapé à l
Une fille en rouge en onglets colorés divisés.,0,Girl in red dividing colored tabs.
Une foule de personnes ayant une femme à châssis orange,2,Trois filles tentent d'acheter des bonbons dans une épice
Un chien fouille un trou dans une cour.,0,le chien fouille à l’extérieur
Un homme a lutté une bougie alors qu'une femme,1,Jeffs 30e anniversaire ne va pas bien.
Un homme ayant une mustache joue du hockey sur glace avec de la neige en,1,Une personne pratique le hockey.
Un groupe d'enfants en marche à un rodéo.,1,Les enfants jouent une chanson.
Un bâton de dunes d'un passager homme obtient,1,Un passager masculin porte une ceinture de sécurité.
Une place à l'ombre de gens et de vie.,1,La place est à la fois abondante et abondante
Une femme à cheveux bruns tenue en denim bleu siège dans un groupe de,1,Une femme nourrit un groupe de pigeons.
Une personne se genoque entre deux chevaux,2,Une personne se tient entre deux vaches.
Les chiens à chiens à l’arrière se courent sur une,0,Les chiens sont à l'extérieur de la piste de course.
l’homme grillant des poissons sur barbecue,2,L'homme navigue sur un bateau.
C'est un homme dans un kiosque de photos.,1,Un homme dans un kiosque de photos à un carnaval.
Un homme saute sur un patinoire qui se trouve sur une chaise pli,0,L'homme tente de faire un tas de skateboard.
